"FindingType","ThresholdDays","DisplayName","UserPrincipalName","Licenses","LastSignIn","DaysInactive","Evidence","Recommendation","MonthlySavings","AnnualSavings","PriceEvidence"
"InactiveUser","30","Adele Vance","AdeleV@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:31 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Diego Siciliani","DiegoS@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:42 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Grady Archie","GradyA@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:47 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Henrietta Mueller","HenriettaM@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:51 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Isaiah Langer","IsaiahL@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:56 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Johanna Lorenz","JohannaL@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:48:00 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Joni Sherman","JoniS@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:48:04 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Megan Bowen","MeganB@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:48:18 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Miriam Graham","MiriamG@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:20 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Nestor Wilke","NestorW@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:25 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Patti Fernandez","PattiF@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:47:09 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
"InactiveUser","30","Pradeep Gupta","PradeepG@rfgd4w.onmicrosoft.com","DEVELOPERPACK_V2_E5","5/12/2026 3:48:22 AM","45","Last sign-in was 45 days ago. Prices loaded from configurable SKU price file.","Review account manually and consider reclaiming license if unused.","1","12","Prices loaded from configurable SKU price file."
